time (s), ch0 acceleration (g), ch1 acceleration (g)
0.582253,0.000628,-0.000350
0.583250,-0.313767,-0.505983
0.584247,0.000794,0.000321
0.585244,-1.338926,0.826237
0.586241,0.000911,0.000672
0.587238,-1.117142,1.417245
0.588235,0.000738,0.001089
0.589232,0.102246,0.715626
0.590229,0.000715,0.000486
0.591226,1.236485,-0.652980
0.592223,0.000998,0.000903
0.593220,1.247069,-1.417253
0.594217,0.000614,0.000961
0.595214,0.115282,-0.874025
0.596211,-0.000620,0.001224
0.597208,-1.135841,0.444490
0.598205,0.001305,0.000811
0.599202,1.370852,0.000926
0.600199,0.001006,-0.568302
0.601196,1.048732,0.000996
0.602193,0.000758,0.764578
0.603190,-0.237880,0.001160
0.604187,0.000593,1.414230
0.605184,-1.314514,0.001409
0.606181,0.000958,0.773712
0.607178,-1.166301,0.000079
0.608175,0.001007,-0.585418
0.609172,0.023517,0.000695
0.610169,0.000838,-1.405996
0.611167,1.198159,0.000726
0.612164,0.001119,-0.927486
0.613161,1.287813,0.000908
0.614158,0.001169,0.374604
0.615155,0.199045,0.000776
0.616152,0.001097,1.346987
0.617149,-1.086152,0.001204
0.618146,0.001280,1.093254
0.619143,-1.355764,0.000877
0.620140,0.000891,-0.164204
0.621137,-0.397520,0.000742
0.622134,0.001285,-1.281277
0.623131,0.916136,0.000510
0.624128,0.002145,-1.202883
0.625125,1.405699,0.000574
0.626122,0.001271,-0.046836
0.627119,0.612498,0.000998
0.628116,0.001382,1.155952
0.629113,-0.754093,0.001377
0.630110,0.000933,1.312782
0.631107,-1.420209,0.000678
0.632104,0.000402,0.269327
0.633101,-0.781184,0.000918
0.634098,0.001215,-1.037741
0.635095,0.550903,0.000752
0.636092,0.000316,-1.375804
0.637089,1.394379,0.000546
0.638086,0.000760,-0.464272
0.639083,0.965955,0.001224
0.640080,0.000861,0.860933
0.641077,-0.353382,0.001010
0.642074,0.000350,1.414208
0.643071,-1.353457,0.001030
0.644068,0.001340,0.676723
0.645065,-1.094911,0.000211
0.646062,0.000503,-0.692931
0.647059,0.140980,0.000755
0.648056,0.000999,-1.420364
0.649053,1.257690,0.000355
0.650050,0.000991,-0.839139
0.651047,1.232115,0.001177
0.652044,0.001217,0.486514
0.653041,0.078221,0.000588
0.654038,0.001196,1.382470
0.655035,-1.160831,0.001274
0.656032,0.000875,1.018307
0.657029,-1.314514,0.001222
0.658026,0.000761,-0.284474
0.659023,-0.282267,0.000237
0.660020,0.000248,-1.332935
0.661017,1.003733,0.000768
0.662014,0.000673,-1.140127
0.663011,1.384689,0.001166
0.664008,0.000886,0.070557
0.665005,0.501826,0.001058
0.666002,0.001059,1.223725
0.666999,-0.854278,0.000630
0.667996,0.001047,1.266263
0.668993,-1.414741,0.001108
0.669990,0.000619,0.150660
0.670987,-0.679691,0.001343
0.671984,0.000707,-1.116958
0.672981,0.659081,0.000614
0.673978,0.001035,-1.340069
0.674975,1.410048,0.000627
0.675972,0.000622,-0.350176
0.676969,0.875095,0.001279
0.677966,0.000558,0.952891
0.678963,-0.468691,0.001040
0.679960,0.000458,1.397153
0.680957,-1.383889,0.000810
0.681954,0.001069,0.565872
0.682951,-1.015640,0.001157
0.683948,0.000622,-0.796964
0.684945,0.256866,0.000782
0.685942,0.001184,-1.419744
0.686939,1.305277,0.001288
0.687936,0.000841,-0.739955
0.688933,1.165621,0.001233
0.689930,0.000740,0.596147
0.690927,-0.042533,0.000950
0.691924,0.001051,1.402857
0.692921,-1.224023,0.000958
0.693918,0.000231,0.930913
0.694915,-1.261487,0.000802
0.695912,0.001068,-0.401697
0.696909,-0.163895,0.001184
0.697906,0.000718,-1.369729
0.698903,1.082824,0.000872
0.699900,-0.000058,-1.065354
0.700897,1.349852,0.001019
0.701894,0.000946,0.188275
